NORAD ID,Name,International Code,launch date ,Period (minutes),Status,Beacon (MHz),Category,magnitude,PRN,Longitude,SV,isFavourite
28892,UWE-1,2005-043C,,98.4,Inactive,437.505,Amateur radio,,,,,
28654,NOAA 18,2005-018A,,102,Weather Sat,,Amateur radio,,,,,
28650,HAMSAT (VO-52)ÊÊCÊ,2005-017B,,96.7,Inactive,145.936,Amateur radio,,,,,
28650,HAMSAT (VO-52)ÊÊCÊ,2005-017B,,96.7,Inactive,145.86,Amateur radio,,,,,
28375,AMSAT ECHOÊÊCÊ,2004-025K,,99.9,Inactive,435.15,Amateur radio,,,,,
28375,AMSAT ECHOÊÊCÊ,2004-025K,,99.9,Inactive,435.15,Amateur radio,,,,,
28375,AMSAT ECHOÊÊCÊ,2004-025K,,99.9,Inactive,435.15,Amateur radio,,,,,
27939,MOZHAYETS 4,2003-042A,,98.2,Active,,Amateur radio,,,,,
27848,CUBESAT XI-IV,2003-031J,,101.3,Active,436.848,Amateur radio,,,,,
27847,CANX-1,2003-031H,,101.3,Inactive,,Amateur radio,,,,,
27846,AAU CUBESAT,2003-031G,,101.3,Inactive,437.45,Amateur radio,,,,,
27845,QUAKESAT,2003-031F,,101.3,Inactive,436.682,Amateur radio,,,,,
